tokens,clean_text,stemmed_tokens,stemmed_text
"['film', 'ukuran', 'film', 'animasi', 'indonesia', 'jumbo', 'bagus', 'banget', 'character', 'development', 'karakternya', 'dapet', 'background', 'story', 'karakternya', 'lumayan', 'sih', 'opini', 'kalo', 'aja', 'dibikin', 'dramatis', 'kyknya', 'seru']",film ukuran film animasi indonesia jumbo bagus banget character development karakternya dapet background story karakternya lumayan sih opini kalo aja dibikin dramatis kyknya seru,"['film', 'ukur', 'film', 'animasi', 'indonesia', 'jumbo', 'bagus', 'banget', 'character', 'development', 'karakter', 'dapet', 'background', 'story', 'karakter', 'lumayan', 'sih', 'opini', 'kalo', 'aja', 'bikin', 'dramatis', 'kyknya', 'seru']",film ukur film animasi indonesia jumbo bagus banget character development karakter dapet background story karakter lumayan sih opini kalo aja bikin dramatis kyknya seru
"['film', 'bioskop', 'terbaik', 'terlaris', 'indonesia', 'berdasarkan', 'data', 'april', 'pabrik', 'gula', 'melampaui', 'juta', 'penonton', 'horor', 'terlaris', 'petaka', 'gunung', 'gede', 'juta', 'penonton', 'populer', 'maret', 'jumbo', 'animasi', 'juta', 'penonton']",film bioskop terbaik terlaris indonesia berdasarkan data april pabrik gula melampaui juta penonton horor terlaris petaka gunung gede juta penonton populer maret jumbo animasi juta penonton,"['film', 'bioskop', 'baik', 'laris', 'indonesia', 'dasar', 'data', 'april', 'pabrik', 'gula', 'lampau', 'juta', 'tonton', 'horor', 'laris', 'petaka', 'gunung', 'gede', 'juta', 'tonton', 'populer', 'maret', 'jumbo', 'animasi', 'juta', 'tonton']",film bioskop baik laris indonesia dasar data april pabrik gula lampau juta tonton horor laris petaka gunung gede juta tonton populer maret jumbo animasi juta tonton
"['bikin', 'sejarah', 'jumbo', 'film', 'animasi', 'terlaris', 'asia', 'tenggara', 'selengkapnya', 'gtgtgt']",bikin sejarah jumbo film animasi terlaris asia tenggara selengkapnya gtgtgt,"['bikin', 'sejarah', 'jumbo', 'film', 'animasi', 'laris', 'asia', 'tenggara', 'lengkap', 'gtgtgt']",bikin sejarah jumbo film animasi laris asia tenggara lengkap gtgtgt
"['dipegang', 'mechamato', 'movie', 'malaysia', 'disutradarai', 'ryan', 'adriandhy', 'film', 'ditonton', 'juta', 'orang', 'penayangan', 'jumbo', 'sukses', 'menyalip', 'moana', 'tangga', 'animasi', 'terlaris', 'indonesia']",dipegang mechamato movie malaysia disutradarai ryan adriandhy film ditonton juta orang penayangan jumbo sukses menyalip moana tangga animasi terlaris indonesia,"['pegang', 'mechamato', 'movie', 'malaysia', 'sutradara', 'ryan', 'adriandhy', 'film', 'tonton', 'juta', 'orang', 'tayang', 'jumbo', 'sukses', 'salip', 'moana', 'tangga', 'animasi', 'laris', 'indonesia']",pegang mechamato movie malaysia sutradara ryan adriandhy film tonton juta orang tayang jumbo sukses salip moana tangga animasi laris indonesia
"['film', 'animasi', 'indonesia', 'jumbo', 'resmi', 'dinobatkan', 'animasi', 'terlaris', 'asia', 'tenggara', 'dirilis', 'maret', 'jumbo', 'meraih', 'pendapatan', 'juta', 'dolar', 'as', 'rp', 'miliar', 'box', 'office', 'indonesia', 'capaian', 'melampaui', 'rekor']",film animasi indonesia jumbo resmi dinobatkan animasi terlaris asia tenggara dirilis maret jumbo meraih pendapatan juta dolar as rp miliar box office indonesia capaian melampaui rekor,"['film', 'animasi', 'indonesia', 'jumbo', 'resmi', 'nobat', 'animasi', 'laris', 'asia', 'tenggara', 'rilis', 'maret', 'jumbo', 'raih', 'dapat', 'juta', 'dolar', 'as', 'rp', 'miliar', 'box', 'office', 'indonesia', 'capai', 'lampau', 'rekor']",film animasi indonesia jumbo resmi nobat animasi laris asia tenggara rilis maret jumbo raih dapat juta dolar as rp miliar box office indonesia capai lampau rekor
"['rekor', 'film', 'jumbo', 'film', 'animasi', 'asia', 'tenggara', 'terlaris']",rekor film jumbo film animasi asia tenggara terlaris,"['rekor', 'film', 'jumbo', 'film', 'animasi', 'asia', 'tenggara', 'laris']",rekor film jumbo film animasi asia tenggara laris
"['jumbo', 'film', 'animasi', 'asia', 'tenggara', 'terlaris', 'film', 'animasi', 'indonesia', 'mengumpulkan', 'us', 'juta', 'box', 'office', 'lokal', 'visinema', 'studios', 'rumah', 'produksi', 'jumbo', 'mengumpulkan', 'tiket']",jumbo film animasi asia tenggara terlaris film animasi indonesia mengumpulkan us juta box office lokal visinema studios rumah produksi jumbo mengumpulkan tiket,"['jumbo', 'film', 'animasi', 'asia', 'tenggara', 'laris', 'film', 'animasi', 'indonesia', 'kumpul', 'us', 'juta', 'box', 'office', 'lokal', 'visinema', 'studios', 'rumah', 'produksi', 'jumbo', 'kumpul', 'tiket']",jumbo film animasi asia tenggara laris film animasi indonesia kumpul us juta box office lokal visinema studios rumah produksi jumbo kumpul tiket
"['buzzer', 'gratisan', 'petualangan', 'sherina', 'ampe', 'ikutan', 'meet', 'amp', 'greet', 'buzzer', 'jumbo', 'sukarela', 'mendukung', 'kemajuan', 'film', 'animasi', 'indonesia', 'sadar', 'film', 'tsb', 'dibintangi', 'sam', 'quinn', 'salman', 'filmnya', 'beda', 'genre']",buzzer gratisan petualangan sherina ampe ikutan meet amp greet buzzer jumbo sukarela mendukung kemajuan film animasi indonesia sadar film tsb dibintangi sam quinn salman filmnya beda genre,"['buzzer', 'gratis', 'tualang', 'sherina', 'ampe', 'ikut', 'meet', 'amp', 'greet', 'buzzer', 'jumbo', 'sukarela', 'dukung', 'maju', 'film', 'animasi', 'indonesia', 'sadar', 'film', 'tsb', 'bintang', 'sam', 'quinn', 'salman', 'film', 'beda', 'genre']",buzzer gratis tualang sherina ampe ikut meet amp greet buzzer jumbo sukarela dukung maju film animasi indonesia sadar film tsb bintang sam quinn salman film beda genre
"['berhenti', 'situ', 'jumbo', 'menyalip', 'film', 'animasi', 'hollywood', 'moana', 'film', 'animasi', 'terlaris', 'indonesia', 'kalah', 'frozen', 'memegang', 'rekor']",berhenti situ jumbo menyalip film animasi hollywood moana film animasi terlaris indonesia kalah frozen memegang rekor,"['henti', 'situ', 'jumbo', 'salip', 'film', 'animasi', 'hollywood', 'moana', 'film', 'animasi', 'laris', 'indonesia', 'kalah', 'frozen', 'pegang', 'rekor']",henti situ jumbo salip film animasi hollywood moana film animasi laris indonesia kalah frozen pegang rekor
"['karakterkarakter', 'super', 'keren', 'makasih', 'udah', 'kasih', 'pelajaran', 'ringanin', 'harihari', 'berat', 'biar', 'hebat', 'i', 'really', 'hope', 'jumbo', 'angin', 'segar', 'perkembangan', 'film', 'animasi', 'indonesia']",karakterkarakter super keren makasih udah kasih pelajaran ringanin harihari berat biar hebat i really hope jumbo angin segar perkembangan film animasi indonesia,"['karakterkarakter', 'super', 'keren', 'makasih', 'udah', 'kasih', 'ajar', 'ringanin', 'harihari', 'berat', 'biar', 'hebat', 'i', 'really', 'hope', 'jumbo', 'angin', 'segar', 'kembang', 'film', 'animasi', 'indonesia']",karakterkarakter super keren makasih udah kasih ajar ringanin harihari berat biar hebat i really hope jumbo angin segar kembang film animasi indonesia
"['jumbo', 'film', 'animasi', 'indonesia', 'tayang', 'film', 'gajah', 'dumbo']",jumbo film animasi indonesia tayang film gajah dumbo,"['jumbo', 'film', 'animasi', 'indonesia', 'tayang', 'film', 'gajah', 'dumbo']",jumbo film animasi indonesia tayang film gajah dumbo
"['menghidupkan', 'perfilman', 'indonesia', 'biar', 'nntn', 'film', 'kartun', 'animasi', 'film', 'horor', 'gajelas', 'bikin', 'mental', 'unstable', 'gw', 'membawa', 'ekspektasi', 'tertinggi', 'gw', 'nntn', 'jumbo']",menghidupkan perfilman indonesia biar nntn film kartun animasi film horor gajelas bikin mental unstable gw membawa ekspektasi tertinggi gw nntn jumbo,"['hidup', 'film', 'indonesia', 'biar', 'nntn', 'film', 'kartun', 'animasi', 'film', 'horor', 'gajelas', 'bikin', 'mental', 'unstable', 'gw', 'bawa', 'ekspektasi', 'tinggi', 'gw', 'nntn', 'jumbo']",hidup film indonesia biar nntn film kartun animasi film horor gajelas bikin mental unstable gw bawa ekspektasi tinggi gw nntn jumbo
"['estimasi', 'keuntungan', 'jumbo', 'ya', 'film', 'bikin', 'heboh', 'indonesia', 'film', 'animasi', 'penonton', 'estimasi', 'keuntungan', 'rumit', 'bro', 'film', 'ditonton']",estimasi keuntungan jumbo ya film bikin heboh indonesia film animasi penonton estimasi keuntungan rumit bro film ditonton,"['estimasi', 'untung', 'jumbo', 'ya', 'film', 'bikin', 'heboh', 'indonesia', 'film', 'animasi', 'tonton', 'estimasi', 'untung', 'rumit', 'bro', 'film', 'tonton']",estimasi untung jumbo ya film bikin heboh indonesia film animasi tonton estimasi untung rumit bro film tonton
"['film', 'jumbo', 'merevolusi', 'industri', 'film', 'animasi', 'indonesia', 'tau', 'toei', 'animation', 'pixar']",film jumbo merevolusi industri film animasi indonesia tau toei animation pixar,"['film', 'jumbo', 'revolusi', 'industri', 'film', 'animasi', 'indonesia', 'tau', 'toei', 'animation', 'pixar']",film jumbo revolusi industri film animasi indonesia tau toei animation pixar
"['mechamato', 'jelek', 'ya', 'kawan', 'salah', 'film', 'animasi', 'yg', 'bagus', 'banget', 'layak', 'tonton', 'jumbo', 'sinarnya', 'juki', 'mempelopori', 'jumbo', 'meningkatkan', 'bangkitlah', 'industri', 'film', 'animasi', 'indonesia']",mechamato jelek ya kawan salah film animasi yg bagus banget layak tonton jumbo sinarnya juki mempelopori jumbo meningkatkan bangkitlah industri film animasi indonesia,"['mechamato', 'jelek', 'ya', 'kawan', 'salah', 'film', 'animasi', 'yg', 'bagus', 'banget', 'layak', 'tonton', 'jumbo', 'sinar', 'juki', 'lopor', 'jumbo', 'tingkat', 'bangkit', 'industri', 'film', 'animasi', 'indonesia']",mechamato jelek ya kawan salah film animasi yg bagus banget layak tonton jumbo sinar juki lopor jumbo tingkat bangkit industri film animasi indonesia
"['pen', 'jujur', 'jumbo', 'film', 'nya', 'ku', 'film', 'animasi', 'indonesia', 'bagus', 'alurnya', 'lagunya', 'karakternya', 'karakternya', 'keren', 'semuaa', 'terimakasih', 'usaha', 'film', 'huhu']",pen jujur jumbo film nya ku film animasi indonesia bagus alurnya lagunya karakternya karakternya keren semuaa terimakasih usaha film huhu,"['pen', 'jujur', 'jumbo', 'film', 'nya', 'ku', 'film', 'animasi', 'indonesia', 'bagus', 'alur', 'lagu', 'karakter', 'karakter', 'keren', 'semuaa', 'terimakasih', 'usaha', 'film', 'huhu']",pen jujur jumbo film nya ku film animasi indonesia bagus alur lagu karakter karakter keren semuaa terimakasih usaha film huhu
"['dear', 'hotaka', 'lihatlah', 'film', 'jumbo', 'animasi', 'buatan', 'indonesia', 'kmu', 'animator', 'indonesia', 'kubilang', 'hotaaa', 'kmu', 'bs', 'memulainya']",dear hotaka lihatlah film jumbo animasi buatan indonesia kmu animator indonesia kubilang hotaaa kmu bs memulainya,"['dear', 'hotaka', 'lihat', 'film', 'jumbo', 'animasi', 'buat', 'indonesia', 'kmu', 'animator', 'indonesia', 'bilang', 'hotaaa', 'kmu', 'bs', 'mula']",dear hotaka lihat film jumbo animasi buat indonesia kmu animator indonesia bilang hotaaa kmu bs mula
"['kek', 'ngapain', 'nonton', 'udah', 'tau', 'gak', 'menghibur', 'alias', 'sedih', 'gitu', 'tp', 'asli', 'dah', 'jumbo', 'wlupun', 'bikin', 'mewek', 'ya', 'worth', 'bgt', 'animasinya', 'keren', 'gak', 'kalah', 'animasi', 'anak', 'semoga', 'naiknya', 'jumbo', 'film', 'animasi', 'indonesia', 'joss', 'gak', 'yg', 'horror', 'template', 'trs']",kek ngapain nonton udah tau gak menghibur alias sedih gitu tp asli dah jumbo wlupun bikin mewek ya worth bgt animasinya keren gak kalah animasi anak semoga naiknya jumbo film animasi indonesia joss gak yg horror template trs,"['kek', 'ngapain', 'nonton', 'udah', 'tau', 'gak', 'hibur', 'alias', 'sedih', 'gitu', 'tp', 'asli', 'dah', 'jumbo', 'wlupun', 'bikin', 'mewek', 'ya', 'worth', 'bgt', 'animasi', 'keren', 'gak', 'kalah', 'animasi', 'anak', 'moga', 'naik', 'jumbo', 'film', 'animasi', 'indonesia', 'joss', 'gak', 'yg', 'horror', 'template', 'trs']",kek ngapain nonton udah tau gak hibur alias sedih gitu tp asli dah jumbo wlupun bikin mewek ya worth bgt animasi keren gak kalah animasi anak moga naik jumbo film animasi indonesia joss gak yg horror template trs
"['film', 'jumbo', 'film', 'animasi', 'indonesia', 'tergolong', 'proper', 'soundtracknya', 'enak', 'banget', 'recommend', 'nonton', 'nih', 'film']",film jumbo film animasi indonesia tergolong proper soundtracknya enak banget recommend nonton nih film,"['film', 'jumbo', 'film', 'animasi', 'indonesia', 'golong', 'proper', 'soundtracknya', 'enak', 'banget', 'recommend', 'nonton', 'nih', 'film']",film jumbo film animasi indonesia golong proper soundtracknya enak banget recommend nonton nih film
"['keren', 'banget', 'jumbo', 'gila', 'indonesia', 'bikin', 'film', 'animasi', 'sebagus']",keren banget jumbo gila indonesia bikin film animasi sebagus,"['keren', 'banget', 'jumbo', 'gila', 'indonesia', 'bikin', 'film', 'animasi', 'bagus']",keren banget jumbo gila indonesia bikin film animasi bagus
"['jumbo', 'film', 'animasi', 'buatan', 'indonesia', 'layak', 'ditonton', 'lho', 'nussa', 'the', 'movie', 'si', 'juki', 'the', 'movie']",jumbo film animasi buatan indonesia layak ditonton lho nussa the movie si juki the movie,"['jumbo', 'film', 'animasi', 'buat', 'indonesia', 'layak', 'tonton', 'lho', 'nussa', 'the', 'movie', 'si', 'juki', 'the', 'movie']",jumbo film animasi buat indonesia layak tonton lho nussa the movie si juki the movie
