Title,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Rumah Asri Luas Akses Dekat Gerbang TOL Limo 1 Hadap Selatan J35351,5,2,,424 m²,200 m²,"Pancoran Mas, Depok","Rp 2,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas SHM Dekat Cinere Bellevue Mall 1 Lantai Hadap Utara J35502,5,4,,227 m²,200 m²,"Cinere, Depok","Rp 2,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lantai SHM 10 Menit ke RSU Brawijaya Sawangan Bisa KPR J35975,2,1,,72 m²,45 m²,"Sawangan, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lantai Terawat Akses Dekat RS Permata Depok Siap Huni J35677,2,1,,72 m²,36 m²,"Pancoran Mas, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 6 Menit ke Transpark Mall Bintaro 2 Lt Bebas Banjir J35029,3,2,,90 m²,66 m²,"Cinere, Depok","Rp 1,61 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah LB 242 SHM Siap KPR 10 Menit ke Gerbang Tol Brigif 4 J-34467,3,2,,230 m²,242 m²,"Beji, Depok","Rp 2,71 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 8 Menit ke RS Permata Depok LT 213 Bebas Banjir J35881,4,2,,213 m²,300 m²,"Pancoran Mas, Depok","Rp 2,21 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah LB 140 Hadap Selatan 10 Menit ke Mall Cinere Bellevue J-35682,3,2,,105 m²,140 m²,"Cinere, Depok","Rp 1,5 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis Asri Dekat The Park Mall Sawangan Dibantu KPR J33337,2,1,,78 m²,48 m²,"Sawangan, Depok",Rp 610 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 3 Lantai Dekat Cinere 9 Menit ke Gerbang Tol Dibantu KPR J34685,4,4,,90 m²,180 m²,"Cinere, Depok","Rp 2,38 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 15 Menit ke Terminal Sawangan 2 KT Hadap Utara J34834,2,1,,96 m²,60 m²,"Sawangan, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 144 Asri 5 Menit ke RS Brawijaya Depok Dibantu KPR J34031,4,2,,144 m²,110 m²,"Bojong Sari, Depok","Rp 1,28 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 70 Terawat di Depok Akses Dekat Pintu Tol Dibantu KPR J36012,2,1,,70 m²,37 m²,"Pancoran Mas, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 8 Menit ke The Park Mall Sawangan Dibantu KPR J35471,2,1,,84 m²,60 m²,"Sawangan, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 10 menit ke Gerbang Tol Margonda 3 Dibantu KPR J34984,4,3,,126 m²,210 m²,"Cilodong, Depok","Rp 2,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Minimalis 15 menit ke Terminal Sawangan SHM Hadap Selatan J35660,2,2,,80 m²,50 m²,"Sawangan, Depok",Rp 940 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 1 Lt Terawat Akses Dekat The Park Mall Sawangan Bisa KPR J35598,2,1,,83 m²,60 m²,"Sawangan, Depok",Rp 890 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 120 Dekat Citayam 10 Menit k RS dan Faskes Siap Huni J36155,3,2,,120 m²,100 m²,"Citayam, Depok","Rp 1,28 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 1 Lantai SHM 13 Menit ke RSU Brawijaya Sawangan Bisa KPR J35568,2,1,,72 m²,50 m²,"Sawangan, Depok",Rp 810 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 9 Menit ke RSU Brawijaya Sawangan 2 Lt Hadap Utara J34516,3,2,,74 m²,80 m²,"Bojong Sari, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 12 Menit ke Gerbang Tol Sawangan 4 Bebas Banjir J36012,2,1,,70 m²,37 m²,"Sawangan, Depok",Rp 670 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 2 Carport 10 Menit ke RSU Brawijaya Sawangan Bebas Banjir J35471,2,1,,84 m²,60 m²,"Bojong Sari, Depok",Rp 1 Miliar,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Bebas Banjir 10 Menit ke Gerbang Tol Margonda 3 Hadap Timur J34984,4,3,,126 m²,210 m²,"Sukmajaya, Depok","Rp 2,05 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 1 Lt Strategis 15 menit ke RS Permata Depok Bebas Banjir J35660,2,2,,80 m²,50 m²,"Bojong Sari, Depok",Rp 940 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah LB 125 SHM dekat RS Sentra Medika Cisalak Dibantu KPR J-36337,2,2,,144 m²,125 m²,"Tapos, Depok","Rp 1,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 15 menit ke Terminal Pondok Cabe Dibantu KPR J35598,2,1,,83 m²,60 m²,"Bojong Sari, Depok",Rp 890 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
8 Menit ke RS Citra Medika Depok J36155,3,2,,120 m²,100 m²,"Cilodong, Depok","Rp 1,28 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Minimalis 14 Menit ke Terminal Pondok Cabe 1 Lt Siap Huni J35568,2,1,,72 m²,50 m²,"Bojong Sari, Depok",Rp 810 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Carport Akses Dekat Gerbang Tol Limo 2 Bebas Banjir J31716,2,1,,72 m²,45 m²,"Limo, Depok",Rp 610 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Terawat 8 Menit ke The Park Sawangan 2 Lantai Dibantu KPR J35689,2,2,,73 m²,56 m²,"Sawangan, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 3 Kamar Dekat Cinere 6 Menit ke Gerbang Tol Hadap Timur J35622,3,3,,96 m²,93 m²,"Cinere, Depok",Rp 890 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lt Minimalis Dekat Sawangan 15 Menit ke Mall Siap Huni J35998,2,1,,82 m²,39 m²,"Sawangan, Depok","Rp 1,01 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Luas 9 Menit ke Mall Pesona Square Dibantu KPR J-36599,2,1,,130 m²,100 m²,"Pancoran Mas, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 7 Menit ke Gerbang Tol Sawangan 4 SHM Dibantu KPR J-34036,2,1,,57 m²,57 m²,"Sawangan, Depok",Rp 540 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Strategis 15 Menit ke Cinere Bellevue Mall Dibantu KPR J35442,4,3,,205 m²,160 m²,"Cinere, Depok","Rp 2,55 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Modern Dekat Tol Limo Depok,3,3,2,65 m²,100 m²,"Limo, Depok","Rp 1,04 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Modern Di Bojongsari Rooftop Lega,2,1,1,65 m²,50 m²,"Bojong Sari, Depok",Rp 700 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Furnished Siap Huni 4 Kamar Tidur Dekat Cinere,4,3,2,103 m²,130 m²,"Cinere, Depok","Rp 1,55 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Tanah Luas Siap Huni Dalam Komplek Nyaman Asri Di Mampang,3,2,2,125 m²,90 m²,"Pancoran Mas, Depok","Rp 1,39 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Layak Huni Di Megapolitan Cinerere,5,5,2,343 m²,400 m²,"Cinere, Depok","Rp 4,2 Miliar",Rumah,,,
Rumah Cantik dan Cozy di Komplek Perumahan Cinere terdepan Bukit Cinere Indah,4,4,1,294 m²,307 m²,"Cinere, Depok","Rp 3,7 Miliar",Rumah,Dekat Akses Transportasi,Dekat Sekolah,
Rumah Cantik Nuansa Kayu Ala Villa Mega Cinere Nego Sampai Deal,6,4,2,919 m²,600 m²,"Cinere, Depok","Rp 8,3 Miliar",Rumah,Bisa Nego,,
Rumah Luas Siap Huni 10 menit ke Gerbang Tol Limo Utama Dibantu KPR J-38074,4,3,,150 m²,200 m²,"Pancoran Mas, Depok","Rp 1,42 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 10 menit ke Gerbang Tol Brigif SHM Dibantu KPR J-38219,2,1,,77 m²,54 m²,"Pancoran Mas, Depok",Rp 900 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah SHM 2 Lt Luas 9 Menit ke RS Permata Depok Dibantu KPR J-38095,4,2,,75 m²,100 m²,"Pancoran Mas, Depok","Rp 1,24 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah SHM LT 120 Siap Huni 16 Menit ke Gerbang Tol Sawangan 1 J-37875,2,1,,120 m²,110 m²,"Pancoran Mas, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 3 KT Siap Huni 10 Menit ke Gerbang Toll Limo 2 Bebas Banjir J31776,3,1,,103 m²,65 m²,"Pancoran Mas, Depok",Rp 780 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Hadap Timur 15 Mnt ke The Park Sawangan Dibantu KPR J-36077,3,1,,72 m²,48 m²,"Sawangan, Depok",Rp 660 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
"Shilla Sawangan Cluster Tilia, Full Furnish",3,4,2,112 m²,109 m²,"Sawangan, Depok","Rp 2,9 Miliar",Rumah,Bisa Nego,,
Rumah LT 108 Strategis 7 menit ke Terminal Sawangan Hadap Utara J22702,2,1,,108 m²,70 m²,"Pancoran Mas, Depok",Rp 510 Juta,Rumah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan
Rumah Strategis 5 menit ke RSUD Depok Timur Dibantu KPR J-33550,2,1,,78 m²,36 m²,"Cilodong, Depok",Rp 680 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 96 Baru Renov 9 Menit ke Stasiun Depok Bebas Banjir J31471,2,1,,96 m²,50 m²,"Sukmajaya, Depok",Rp 820 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Utara 15 menit ke Stasiun Depok Dibantu KPR J-37764,2,1,,72 m²,65 m²,"Citayam, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 90 di Depok 10 Menit ke RS dan Faskes SHM Hadap Utara J38338,2,1,,90 m²,60 m²,"Pancoran Mas, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Luas 2 Lt Siap Huni 17 Menit ke One Belpark Mall J-37807,3,3,,105 m²,160 m²,"Cinere, Depok","Rp 2,6 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Dekat Cinere 15 Menit ke Tol dan Stasiun J19098,4,4,,88 m²,140 m²,"Cinere, Depok","Rp 1,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 7 menit ke The Park Sawangan Dibantu KPR J-36430,2,1,,78 m²,50 m²,"Sawangan, Depok",Rp 690 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis Strategis 4 Menit ke Stasiun Citayam Bisa KPR J28541,2,1,,50 m²,36 m²,"Citayam, Depok",Rp 340 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Strategis 15 Menit ke Cinere Bellevue Mall Hadap Selatan J26187,2,2,,147 m²,147 m²,"Cinere, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas 15 menit ke Gerbang Tol Kukusan 2 Hadap Utara J-36328,3,4,,120 m²,200 m²,"Pancoran Mas, Depok","Rp 2,88 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 7 Menit ke Stasiun Citayam Siap KPR J-37281,3,2,,90 m²,70 m²,"Citayam, Depok",Rp 830 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 12 Menit ke Gerbang Tol Limo 2 Dibantu KPR J-36869,2,2,,100 m²,72 m²,"Limo, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lt SHM Hadap Timur 10 menit ke RSUD Depok Timur J-36987,3,1,,81 m²,81 m²,"Sukmajaya, Depok",Rp 760 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lt Minimalis Dekat Gerbang Tol Sawangan 4 Dibantu KPR J34208,2,2,,156 m²,102 m²,"Sawangan, Depok","Rp 1,47 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 13 Menit ke RSU Hermina Depok Siap Huni Dibantu KPR J-36720,2,1,,62 m²,40 m²,"Pancoran Mas, Depok",Rp 650 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur 15 Menit ke The Park Sawangan Dibantu KPR J-36847,2,1,,72 m²,45 m²,"Pancoran Mas, Depok",Rp 620 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 9 Menit ke Rumah Sakit Citra Arafiq Sawangan J-37275,2,1,,93 m²,85 m²,"Pancoran Mas, Depok",Rp 560 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah SHM Terawat 14 Menit ke RSU Bhakti Yudha Depok Bisa KPR J32942,2,1,,53 m²,36 m²,"Pancoran Mas, Depok",Rp 390 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 8 menit ke The Park Sawangan SHM Siap KPR J-34777,2,1,,87 m²,50 m²,"Sawangan, Depok","Rp 1,03 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
