Title,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Rumah 10 Menit ke Primaya Hospital Depok Hadap Timur Dibantu KPR J-36901,2,2,,90 m²,68 m²,"Sukmajaya, Depok",Rp 890 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis 7 Menit ke Gerbang Tol Kukusan 3 Hadap Utara J38221,2,1,,84 m²,36 m²,"Beji, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Terawat 2 Lt 13 Menit ke Gerbang Tol Cisalak 1 Siap Huni J37255,2,2,,72 m²,86 m²,"Cimanggis, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 9 Menit ke The Park Sawangan Dibantu KPR J-36808,2,2,,98 m²,50 m²,"Bojong Sari, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 178 SHM Dibantu KPR 10 Menit ke Stasiun Depok J-37688,4,4,,178 m²,256 m²,"Cilodong, Depok","Rp 3,1 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Hadap Timur 10 Menit ke Gerbang Tol Kukusan 1 Siap KPR J-37024,2,1,,75 m²,45 m²,"Beji, Depok",Rp 860 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Siap Huni dekat Gerbang Tol Limo Utama Hadap Selatan J-37895,2,1,,75 m²,50 m²,"Limo, Depok",Rp 710 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 119 SHM Hadap Timur 15 menit ke Stasiun Citayam Siap Huni J-37279,3,2,,119 m²,69 m²,"Cipayung, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lt Luas 3 Menit ke Gerbang Tol Sawangan 4 Hadap Timur J36927,2,1,,121 m²,55 m²,"Pancoran Mas, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Hadap Timur 11 menit ke The Park Sawangan J-37041,2,1,,76 m²,45 m²,"Bojong Sari, Depok",Rp 540 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lt SHM 12 Menit ke Cibubur Junction Dibantu KPR J-36689,4,3,,180 m²,230 m²,"Cimanggis, Depok","Rp 2,49 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 10 menit ke RSUD Depok Timur Dibantu KPR J-37770,3,1,,75 m²,75 m²,"Tapos, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Timur 10 Menit ke The Park Sawangan Dibantu KPR J-37593,2,1,,72 m²,55 m²,"Sawangan, Depok",Rp 610 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Idaman di Depok 15 Menit ke Stasiun LB 140 Hadap Utara J31469,3,3,,102 m²,140 m²,"Cimanggis, Depok","Rp 1,27 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah LB 120 Strategis Akses Dekat Gerbang Tol Brigif 1 Bisa KPR J34039,3,2,,86 m²,120 m²,"Cinere, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LB 200 SHM Hadap Selatan 6 menit ke DTC (Depok Town Center) J-38074,4,3,,150 m²,200 m²,"Citayam, Depok","Rp 1,42 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 10 Menit ke RS Permata Depok Hadap Selatan Dibantu KPR J-38125,2,1,,72 m²,72 m²,"Pancoran Mas, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 1 Lt Terawat 10 Menit ke Gerbang Tol Margonda 2 Siap Huni J34291,4,5,,214 m²,200 m²,"Cilodong, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 112 Siap Huni Akses Dekat Pintu Tol Brigif 2 Hadap Timur J26013,3,2,,112 m²,120 m²,"Cinere, Depok","Rp 2,23 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 15 menit ke Stasiun Depok Siap Huni Dibantu KPR J-37765,2,1,,90 m²,36 m²,"Citayam, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LB 175 Hadap Selatan 15 Menit ke Gerbang Tol Margonda 3 J-38238,3,3,,116 m²,175 m²,"Sukmajaya, Depok","Rp 1,94 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap KPR 8 menit ke RS Permata Depok Hadap Selatan J-38219,2,1,,77 m²,54 m²,"Citayam, Depok",Rp 900 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Minimalis 15 Menit ke RSIA Citra Insani LT 99 Hadap Utara J34047,2,1,,99 m²,65 m²,"Citayam, Depok",Rp 640 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lt SHM 9 Menit ke RS Permata Depok Dibantu KPR J-38095,4,2,,75 m²,100 m²,"Citayam, Depok","Rp 1,24 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah Siap Huni 15 Menit ke Gerbang Tol Cimanggis 3 Bebas Banjir J34484,2,1,,87 m²,78 m²,"Cimanggis, Depok",Rp 610 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah 9 Menit ke The Park Sawangan Siap Huni Hadap Selatan J-36808,2,2,,98 m²,50 m²,"Sawangan, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur LT 178 SHM 15 Menit ke Gerbang Tol Margonda 3 J-37688,4,4,,178 m²,256 m²,"Sukmajaya, Depok","Rp 3,1 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM 2 Lt Siap KPR 11 Menit ke Mall Pesona Square J-34160,3,2,,94 m²,58 m²,"Citayam, Depok","Rp 1,44 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 160 Hadap Timur 6 menit ke RS Citra Medika Depok Dibantu KPR J-37606,4,3,,160 m²,160 m²,"Sukmajaya, Depok","Rp 2,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 10 Menit ke Gerbang Tol Kukusan 1 SHM Hadap Timur J-37024,2,1,,70 m²,45 m²,"Cinere, Depok",Rp 860 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 5 KT Strategis 3 Menit ke Gerbang Tol Brigif Hadap Utara J35596,5,3,,90 m²,120 m²,"Cinere, Depok","Rp 1,73 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas Strategis 15 menit ke Stasiun Citayam Dibantu KPR J-37279,3,2,,119 m²,69 m²,"Citayam, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 1 Lantai Dekat Gerbang Tol Sawangan 4 Hadap Timur J37041,2,1,,76 m²,45 m²,"Sawangan, Depok",Rp 540 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Seken 6 Menit ke RS Citra Medika Depok LT 88 Siap Huni J33252,2,1,,48 m²,48 m²,"Sawangan, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 10 menit ke RSUD Depok Timur Hadap Selatan J-37770,3,1,,75 m²,75 m²,"Cilodong, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Timur 10 Menit ke The Park Sawangan Dibantu KPR J-37593,2,1,,72 m²,55 m²,"Pancoran Mas, Depok",Rp 610 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Cantik 10 Menit ke Stasiun Lenteng Agung 4 KT Baru Renov J25000,4,4,,82 m²,135 m²,"Beji, Depok","Rp 1,68 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah Strategis 15 Menit ke Stasiun Depok Baru LT 72 Hadap Selatan J36747,2,1,,72 m²,72 m²,"Pancoran Mas, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis 5 Menit ke Gerbang Tol Brigif 3 Kamar Siap KPR J34039,3,2,,86 m²,120 m²,"Beji, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas SHM 15 menit ke Stasiun Depok Baru Dibantu KPR J-38074,4,3,,150 m²,200 m²,"Sukmajaya, Depok","Rp 1,42 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM Siap Huni 10 Menit ke RS Permata Depok Dibantu KPR J-38125,2,1,,72 m²,72 m²,"Limo, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 4 Kamar Tidur SHM Siap KPR 6 Menit ke Gerbang Tol Margonda 3 J34291,4,5,,214 m²,200 m²,"Cimanggis, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Baru Renov 8 Menit ke Gerbang Tol Brigif 2 Lt Dibantu KPR J26013,3,2,,112 m²,120 m²,"Beji, Depok","Rp 2,23 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah SHM Siap Huni 15 menit ke Terminal Citayam Sudah Renov J22702,2,1,,108 m²,70 m²,"Cipayung, Depok",Rp 510 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Minimalis 15 Menit ke Gerbang Tol Kukusan 3 Baru Renov J27167,2,1,,60 m²,40 m²,"Beji, Depok",Rp 590 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni Dibantu KPR 12 Menit ke Living Plaza Cinere J-38127,3,2,,75 m²,84 m²,"Beji, Depok","Rp 1,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 5 Kamar Tidur Hadap Selatan 5 menit ke Living Plaza Cinere J-37653,5,4,,111 m²,135 m²,"Beji, Depok","Rp 1,61 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lantai SHM di Depok Akses Dekat Gerbang Tol Siap Huni J36259,2,1,,93 m²,43 m²,"Beji, Depok",Rp 590 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap KPR Hadap Utara 7 Menit ke Gerbang Tol Kukusan 3 J-38221,2,1,,84 m²,36 m²,"Limo, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 10 menit ke Gerbang Tol Brigif SHM Hadap Selatan Dibantu KPR J-38219,2,1,,77 m²,54 m²,"Sukmajaya, Depok",Rp 900 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Luas Strategis dekat RSU Brawijaya Sawangan Dibantu KPR J-37103,2,1,,120 m²,80 m²,"Sawangan, Depok",Rp 830 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas 15 menit ke Stasiun Citayam Siap Huni Dibantu KPR J-37606,4,3,,160 m²,160 m²,"Citayam, Depok","Rp 2,77 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Timur 10 Menit ke Gerbang Tol Kukusan 1 Dibantu KPR J-37024,2,1,,70 m²,45 m²,"Limo, Depok",Rp 860 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lt Strategis 15 menit ke Stasiun Citayam Dibantu KPR J-37732,2,3,,72 m²,82 m²,"Citayam, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Hadap Selatan 15 menit ke RSIA ASYIFA DEPOK Dibantu KPR J-37895,2,1,,75 m²,50 m²,"Beji, Depok",Rp 710 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 5 menit ke Gerbang Tol Brigif 4 Siap Huni Hadap Selatan J-37588,3,2,,73 m²,91 m²,"Beji, Depok","Rp 1,5 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 119 Terawat 15 Menit ke Stasiun Depok Baru Siap Huni J37279,3,2,,119 m²,69 m²,"Pancoran Mas, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 8 menit ke RSUD Parung Siap Huni Dibantu KPR J-36671,2,1,,72 m²,36 m²,"Sawangan, Depok",Rp 880 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 10 Menit ke The Park Sawangan Hadap Timur Dibantu KPR J-37086,3,2,,73 m²,100 m²,"Limo, Depok","Rp 1,11 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas Strategis Hadap Timur 3 Menit ke Gerbang Tol Sawangan 4 J-36927,2,1,,121 m²,55 m²,"Sawangan, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 15 menit ke Gerbang Tol Brigif 1 Lt Hadap Utara J17179,2,1,,82 m²,50 m²,"Beji, Depok",Rp 940 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis Siap Huni 15 menit ke RS Permata Depok J-37041,2,1,,76 m²,45 m²,"Pancoran Mas, Depok",Rp 540 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lt Terawat di Depok Dekat Stasiun dan Tol Dibantu KPR J33252,2,1,,48 m²,48 m²,"Pancoran Mas, Depok",Rp 500 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 10 Menit ke RS Permata Depok Hadap Timur Dibantu KPR J-37593,2,1,,72 m²,55 m²,"Limo, Depok",Rp 610 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 14 Menit ke RSIA Vitalaya Dibantu KPR J-36310,3,3,,152 m²,100 m²,"Sawangan, Depok","Rp 1,39 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan LT 112 SHM 15 menit ke RS Permata Depok J-36543,2,2,,112 m²,30 m²,"Bojong Sari, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 124 SHM 10 menit ke RS Permata Depok Dibantu KPR J-36932,3,1,,124 m²,55 m²,"Pancoran Mas, Depok","Rp 1,55 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lantai 15 Menit ke Gerbang Tol Margonda 1 Hadap Utara J36599,2,1,,130 m²,100 m²,"Sukmajaya, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni 15 Mnt ke Pintu Tol Cimanggis Hadap Selatan J34466,2,1,,90 m²,70 m²,"Cimanggis, Depok",Rp 700 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 1 Lantai SHM di Depok 15 Menit ke Stasiun Dibantu KPR J35781,2,1,,75 m²,45 m²,"Cilodong, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lt SHM 11 Menit ke Sari Plaza Bojongsari Siap Huni J-36455,3,2,,80 m²,66 m²,"Bojong Sari, Depok",Rp 800 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Selatan 4 Kamar Tidur 15 Menit ke The Park Sawangan J-36591,4,2,,84 m²,100 m²,"Bojong Sari, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LB 136 Hadap Selatan 10 Menit ke RS Citra Medika Depok J-37118,3,2,,74 m²,136 m²,"Cilodong, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 7 menit ke The Park Sawangan SHM Dibantu KPR J-36430,2,1,,78 m²,50 m²,"Bojong Sari, Depok",Rp 690 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Murah SHM Siap Huni 4 Menit ke Stasiun Citayam Dibantu KPR J-28541,2,1,,50 m²,36 m²,"Pancoran Mas, Depok",Rp 340 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Carport Luas 1 Lt Dekat RSU Brawijaya Sawangan Hadap Utara J34449,2,1,,72 m²,36 m²,"Sawangan, Depok",Rp 830 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Utara LB 200 Siap Huni 15 menit ke Gerbang Tol Kukusan 2 J-36328,3,4,,120 m²,200 m²,"Sukmajaya, Depok","Rp 2,88 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah SHM 2 Lt Hadap Timur 7 Menit ke Stasiun Citayam Dibantu KPR J-37281,3,2,,90 m²,70 m²,"Cipayung, Depok",Rp 830 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 12 Menit ke Gerbang Tol Limo 2 Siap Huni Dibantu KPR J-36869,2,2,,100 m²,72 m²,"Pancoran Mas, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 3 KT Baru Renov 8 Menit ke Gerbang Tol Brigif Dibantu KPR J29026,3,3,,88 m²,130 m²,"Beji, Depok","Rp 1,79 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah SHM Siap Huni 15 menit ke Gerbang Tol Cisalak 4 Hadap Timur J36987,3,1,,81 m²,81 m²,"Cilodong, Depok",Rp 760 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 156 Hook 8 menit ke The Park Mall Sawangan Siap KPR J34208,2,2,,156 m²,102 m²,"Bojong Sari, Depok","Rp 1,47 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 18 Menit ke Gerbang Tol Margonda 3 SHM Siap Huni Dibantu KPR J-36720,2,1,,62 m²,40 m²,"Sukmajaya, Depok",Rp 650 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Utara LT 150 Dibantu KPR 8 Menit ke Mall The Park Sawangan J-35366,2,1,,150 m²,85 m²,"Sawangan, Depok","Rp 1,33 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas 2 Lantai 5 Menit ke RS Brawijaya Depok Bebas Banjir J34031,4,2,,144 m²,110 m²,"Sawangan, Depok","Rp 1,28 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Minimalis 7 Menit ke Gerbang Tol Kukusan 1 Dibantu KPR J24942,2,2,,30 m²,50 m²,"Beji, Depok",Rp 450 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lt SHM 12 Menit ke The Park Sawangan Dibantu KPR J-33218,3,2,,84 m²,84 m²,"Sawangan, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Strategis 3 KT 15 menit ke Terminal Sawangan Siap Huni J33986,3,2,,90 m²,100 m²,"Bojong Sari, Depok",Rp 920 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 10 Menit ke Stasiun Citayam SHM Siap Huni Dibantu KPR J-36519,2,1,,75 m²,45 m²,"Citayam, Depok",Rp 780 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah LT 112 SHM 7 menit ke RSU Brawijaya Sawangan J-36543,2,2,,112 m²,30 m²,"Sawangan, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 2 Lt Hadap Selatan dekat  One Belpark Mall Dibantu KPR J-36865,4,4,,96 m²,140 m²,"Cinere, Depok","Rp 1,72 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 124 Hadap Timur 10 menit ke RS Permata Depok Siap KPR J-36932,3,1,,124 m²,55 m²,"Citayam, Depok","Rp 1,55 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lt Hadap Timur 9 Menit ke Gerbang Tol Kukusan 1 J-36759,3,2,,58 m²,95 m²,"Cinere, Depok","Rp 1,39 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis Dekat Citayam 15 Menit ke Stasiun LT 75 Bisa KPR J35781,2,1,,75 m²,45 m²,"Citayam, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah 17 Menit ke The Park Sawangan SHM Dibantu KPR J-36455,3,2,,80 m²,66 m²,"Sawangan, Depok",Rp 800 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 2 Lt Hadap Selatan 15 Menit ke The Park Sawangan Siap KPR J-36591,4,2,,84 m²,100 m²,"Sawangan, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas Strategis 15 Menit ke Alia Hospital Depok Dibantu KPR J-37118,3,2,,74 m²,136 m²,"Citayam, Depok","Rp 1,05 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Ready Stok Di Dalam Cluater Lokasi Tanah Baru Beji Depok Rumah SHM Bagus,1,3,1,75 m²,100 m²,"Tanah Baru, Depok","Rp 1,2 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Sekolah
Rumah Minimalis 3 KT 9 Menit ke The Park Sawangan Dibantu KPR J36616,3,2,,78 m²,60 m²,"Bojong Sari, Depok",Rp 720 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Hadap Timur Luas 5 Menit ke RS Citra Medika Depok J-37614,3,2,,116 m²,90 m²,"Cilodong, Depok","Rp 1,22 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 6 Menit ke RS Citra Medika Depok SHM Dibantu KPR J-37469,2,1,,77 m²,50 m²,"Cilodong, Depok",Rp 670 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Minimalis SHM Akses Dekat Cinere Bellevue Mall Siap Huni J34864,5,4,,95 m²,200 m²,"Cinere, Depok","Rp 3,04 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Takeover Credit rumah Baru Siap Huni Di Bojong Sari Depok,3,2,,63 m²,48 m²,"Sawangan, Depok",Rp 50 Juta,Rumah,Over Kredit,Siap Huni,Bebas Banjir
Rumah Siap KPR 15 Menit ke RS Citra Medika Depok SHM J32031,2,1,,105 m²,100 m²,"Sawangan, Depok",Rp 910 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah 14 Menit ke Gerbang Tol Cimanggis Sudah Renov Dibantu KPR J26865,2,1,,84 m²,56 m²,"Cimanggis, Depok",Rp 740 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah
Rumah Murah Minimalis Di Pitara Pancoran Mas Dekat Stasiun Depok,2,1,1,55 m²,40 m²,"Margonda, Depok",Rp 570 Juta,Rumah,Syariah,Siap Huni,Bebas Banjir
Rumah Bagus Akses 2 Mobil Cuma 5 Menit Ke Stasiun Lrt Cibubur,3,3,2,90 m²,100 m²,"Cimanggis, Depok","Rp 1,55 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Kpr Termurah Akses 2 Mobil Dekat Tol Di Sawangan Depok,2,1,2,60 m²,45 m²,"Sawangan, Depok",Rp 499 Juta,Rumah,Dekat Akses Transportasi,,
Rumah bagus SHM 2 lantai termurah di Jalan KSU Sukmajaya Depok,3,2,1,51 m²,70 m²,"Sukmajaya, Depok",Rp 695 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,
Rumah Bagus Dalam Cluster Yang Keren Dekat Pintu Tol Depok,3,2,2,61 m²,55 m²,"Beji, Depok",Rp 893 Juta,Rumah,Dekat Akses Transportasi,Dekat Tempat Ibadah,
Rumah Keren Banget Dekat Stasiun Depok Dan Sekolah Al Azhar,2,2,1,70 m²,50 m²,"Sukmajaya, Depok",Rp 677 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,
"Jual Cepat Rumah Bukit CInere Indah Dibawah NJOP , Depok",4,4,2,1629 m²,1370 m²,"Cinere, Depok",Rp 12 Miliar,Rumah,,,
Rumah Baru Siap Huni Akses Jln Luas dekat Tol Pamulang &Sawangan ,3,2,2,55 m²,60 m²,"Sawangan, Depok",Rp 733 Juta,Rumah,DP 0%,Siap Huni,Dekat Akses Transportasi
Dijual Cepat Murah Rumah 2 Lantai Semi Furnished Di Sawangan,4,3,,90 m²,180 m²,"Sawangan, Depok",Rp 700 Juta,Rumah,Bisa Nego,,
Rumah SHM Luas 10 menit ke The Park Sawangan Hadap Utara J-37357,2,1,,105 m²,75 m²,"Bojong Sari, Depok","Rp 1,17 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah LT 121 Strategis 15 Menit ke Stasiun Depok 1 Lt Dibantu KPR J28215,2,1,,121 m²,65 m²,"Cipayung, Depok",Rp 710 Juta,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
