userName;score;content
Pengguna Google;3;baiknya hapus penggunaan foto ai yg untuk menu hidangan, banyak tipu tipu
Pengguna Google;5;Sangat Memuaskan terima kasih
Pengguna Google;5;apik
Pengguna Google;5;the best
Pengguna Google;3;Kepada Pimpinan Grab yg ada di Indonesia terutama di Medan. tolong dulu ditatar/diperingatin DRIVER KALIAN. Agar tidak Body Shaming (menanyakan berat badan) & Menanyakan hal pribadi terhadap penumpang (sprti masalah pernikahan & keturunan). sekian dan terima kasih
Pengguna Google;5;recomen
Pengguna Google;5;trimakasi
Pengguna Google;5;manteep
Pengguna Google;2;Bagus
Pengguna Google;5;debes deh
Pengguna Google;5;Bagus
Pengguna Google;1;"woy gua make grab udah 6 tahun. ini tiba"" minta selfie. ampe pegel pala nunduk naik gk bisa"" . ngehe banget"
Pengguna Google;5;selalu jadi yang terbaik dalam segala hal
Pengguna Google;5;mantap
Pengguna Google;1;jelek, mendingan gojek
Pengguna Google;5;aplikasi yang sangat membantu sekali
Pengguna Google;1;beli makanan nggak nyampe2. udah 2x pesan nggak nyampe semua (nunggu sampe 4 jam kalau ditotal) emang parah2. pilihan paket hematnya dihapus aja kalau bener2 nggak diambil sama pengantar. Udah sampe 4 jam lebih nggak ada pengantar yang mau ambil pesanan.
Pengguna Google;5;saya kurang mendukung ada layanan traktir driver, sehingga pada jam-jam tertentu kebanyakan driver tidak mengambil orderan grab bike,saya sebagai pengguna grab sangat kesulitan mencari grab bike terutama di jam-jam promo resto terima kasih.
Pengguna Google;3;titik lokasi ga update seperti di google maps
Pengguna Google;5;kurirnya baik berpriaku sopan dan santun
Pengguna Google;1;kecewa sih, gw pesan makanan lama banget nyari drivernya bahkan gw nunggu ampe 3 jam lebih g nyampe nyampe, gimana sih ni apk, sebernya serius g sih lu pada jalanin ni apk? dongo dongo
Pengguna Google;4;👍💯
Pengguna Google;5;sangat memuaskan
Pengguna Google;1;Lama nyari pengemudi... Gak yes...
Pengguna Google;1;hujan gerimis, pengemudi ga dapat.. aplikasi ga jelas... shoope food tetap dpt pengemudi tuh
Pengguna Google;5;sangat seneng sekali
Pengguna Google;5;sangat baik
Pengguna Google;1;lagi main pubg notif muncul
Pengguna Google;5;orang nya ramah
Pengguna Google;1;menyediakan layanan bantuan tapi sayang pas di kritik justru ditolak,,, harusnya kalo memang tdk percaya silakan datang ambil makanannya dan coba sendiri makanan itu layak tdk dimakan,,, bukan maksud mau digantikan tapi pelayanan grab kurang ajar
Pengguna Google;4;sangat cocok untuk belanja
Pengguna Google;5;bagus
Pengguna Google;1;mengecewakan
Pengguna Google;5;mantap
Pengguna Google;5;ramah dan menyenangkan
Pengguna Google;3;kalo hujan kenapa ga ada yg mau ambil orderan??!
Pengguna Google;4;tolong untuk di himbau para mitra driver nya utk selalu sedia Jas Hujan untuk penumpang .. baik jarak dekat maupun jauh setidaknya di musin hujan saat ini ada jas hujannn jadi utk Customernya tdak kehujanan atau basah kuyup ..
Pengguna Google;4;ok
Pengguna Google;5;mudah,cepat dan banyak pilihan
Pengguna Google;1;ga tepat waktu
Pengguna Google;5;mudah dan cepat
Pengguna Google;5;makasih aplikasi nya bagus banget lumayan......
Pengguna Google;1;Pengalaman sy kemarin tgl 19 Oktober 2025 pergi ke bandara. tertulis harga 436rb tiba-tiba driver bilang batalkan sja dari aplikasi nya biar manual gtu. (aku gabanyak tanya, aku pikir harga tetap sesuai seperti di aplikasi paling tambah biaya tol aja) next nyampe bandara ditanya berapa semua total 562rb. gilaaakkk driver nya. tolong dong perbaiki seleksi driver nya
Pengguna Google;1;"driver suka cancel saat sudah dekat dengan lokasi penjemputan. beberapa suka marah"", padahal kata"" yg dikatakan juga sudah sopan. perbaiki dulu attitude drivernya yaa"
Pengguna Google;5;sangat membantu
Pengguna Google;5;Sangat baik Terimakasih Play store
Pengguna Google;5;mantap
Pengguna Google;1;nunggu konfirmasi pesanan lama tidak bisa batalkan order mknan 30 jd 40 ongkir setara mknan
Pengguna Google;5;sangat membantu mempermudah perjalanan
Pengguna Google;1;Kondisi Hujan susah nyangkut, padahal yg nentukan tarif dari Apk nya, klo emg maunya tarif mahal ngaoain jadi ojol grab ya
Pengguna Google;5;pelayanan bagus ga ribet
Pengguna Google;5;nice
Pengguna Google;5;alhamdulilah sampe tujuan
Pengguna Google;1;Lu semua bangsaaat manusia yg GK berfikir orang miskin lu peras ini aplikator grab hanya eksplorasi mitranya ini perbudakan yg sangat tidak ada prikemanusiaannya..GK tau malu kalian semua sama biadabnya kalian semua
Pengguna Google;5;keren parah
Pengguna Google;5;layanan baik, mobil bersih
Pengguna Google;5;sangat baik
Pengguna Google;1;selektif dong klo pilih mitra.. jgn bermitra sama org bodoh yg playing victim... tindak tegas mitra yg nakal
Pengguna Google;1;kurang ajar , gabisa batalin pesanan grabfood
Pengguna Google;5;nice
Pengguna Google;5;baik
Pengguna Google;1;server eror mlu
Pengguna Google;2;saya udah bayar paylatter tapi kok, gak bisa di gunain lagi, tolong di perbaikin dong, dan saya bayar gak pernah telat, biasanya pas bayar saldonya balik lagi ke paylatter, ini gak ada
Pengguna Google;5;sangat membantu dlm perjalanan.
Pengguna Google;5;semua baik
Pengguna Google;5;pelayanan mantap
Pengguna Google;5;terimakasih tuk perjalanan yg nyaman dan aman
Pengguna Google;1;aplikasi jelek
Pengguna Google;1;susah bgt pesan makanan gabisa TF Dari bank, pakai kartu juga gabisa.
Pengguna Google;5;Baik
Pengguna Google;1;tidak berguna
Pengguna Google;5;mantap
Pengguna Google;5;berguna
Pengguna Google;5;ramah
Pengguna Google;5;selalu menyediakan layanan terbaik
Pengguna Google;5;memudahkan kalo mau kemana mana
Pengguna Google;5;sangat bagus.
Pengguna Google;5;saya sangat nyaman dengan aplikasi grab ,dengan pelayanan yg ramah dan juga driver nya sangat ramah ,pertahan kan trus aplk grabe
Pengguna Google;5;terbaik dari kompetitor lain.
Pengguna Google;5;Mantab
Pengguna Google;1;sangat tdk jelas, pembayaran selalu lancar tiba2 paylaternya dibuat hanya Rp1 tanpa pemberitahuan alasan nya
Pengguna Google;5;Alhamdulillah berkah cepat
Pengguna Google;5;mantap
Pengguna Google;1;dipesan trus dibatalkan sama driver. asu tenen
Pengguna Google;1;saya pesen grabfood, terus salah pencet eh ga bisa dibatalin, harusnya ada fitur batalkan pesanan dengan mudah
Pengguna Google;4;terbaik
