MBl,BEl,VEp,REs,OGp,RMl,BLs,PFv,PFs,CPt,Family
200.0,6.551865129,0.212053188,0.360114556,0.212053188,0.4961174962,0.295935313,0.0,0.128569755,3.691615757,Acipenseridae
211.0,6.063213804,0.427132717,0.225251679,0.0,0.147225851,0.40131362,0.0,0.168950701,3.772213697,Acipenseridae
430.0,6.592591411,0.265423929,0.232465143,0.0,0.225918324,0.450606752,0.0,0.1716501224,5.149832966,Acipenseridae
255.0,5.90920942,0.34835932,0.286088355,0.0,0.167096847,0.458549889,0.0,0.141044583,4.677642862,Acipenseridae
125.0,7.503637265,0.284759694,0.306006503,0.121716216,0.231894883,0.428815146,0.0,0.146616693,4.013454139,Acipenseridae
300.0,7.660719877,0.231231455,0.20898427,0.0,0.1890440948,0.417560052,0.0,0.1305521254,1.8791330364000003,Acipenseridae
400.0,8.110051686,0.370154937,0.201439018,0.0,0.1961866922,0.523871078,0.0,0.1539283706,3.796543726,Acipenseridae
250.0,8.674477993,0.280231335,0.280278547,0.0,0.278200985,0.325371789,0.0,0.098354576,4.437812167,Acipenseridae
600.0,8.307055489,0.343421838,0.311984323,0.0,0.196335259,0.433890215,0.0,0.1539283706,3.30320441,Acipenseridae
610.0,5.827969707,0.262068614,0.193794643,0.0,0.203776786,0.407594356,0.0,0.16240453,4.486984957,Acipenseridae
19.9,2.048494388,0.544456783,0.442944102,0.48515951,0.223498856,0.401612347,0.261447069,0.169754321,5.327868852,Characidae
20.0,2.065171732,0.598321927,0.414001105,0.465776881,0.362907862,0.433533176,0.330404257,0.223657727,2.269796259,Characidae
13.2,2.216714444,0.559992533,0.42016972,0.511993173,0.215969632,0.4474767,0.26399648,0.2157085136,3.797987116,Characidae
12.0,3.335582331,0.544421316,0.40203927,0.507051685,0.493493159,0.514454641,0.18908538,0.194198183,2.42232442,Characidae
30.0,4.271517544,0.413552632,0.414948996,0.313236842,0.281873439,0.583035088,0.219298246,0.14021271,3.539973055,Cyprinidae
9.21,4.560810003,0.519054678,0.178924107,0.147727544,0.443500679,0.519317666,0.265809166,0.153961681,2.442223661,Akysidae
10.1,9.112703983,0.503107277,0.108672691,0.169601921,1.021493118,0.648041112,0.183095761,0.167323695,1.558823863,Akysidae
8.32,5.325177364,0.558865427,0.098444378,0.262345679,0.382687294,0.65356684,0.336866655,0.160984411,1.921750447,Akysidae
14.48,4.417691795,0.478977558,0.065580609,0.165282305,0.454591801,0.504129721,0.372107151,0.209800344,2.406661366,Akysidae
11.0,6.145590868,0.457867055,0.120010609,0.196200761,0.490474296,0.632917413,0.154039839,0.196660415,2.610307888,Akysidae
13.1,3.5015,0.525641026,0.456790123,0.371794872,0.326864198,0.519230769,0.326923077,0.199681821,2.66133871,Cyprinidae
20.0,3.323552941,0.552941176,0.380952381,0.382352941,0.316321429,0.494117647,0.282352941,0.172988156,1.995312213,Cyprinidae
19.16,3.652898237,0.545673486,0.328629822,0.353261387,0.343767647,0.549583202,0.219930542,0.195370345,2.479114669,Cyprinidae
20.0,3.456418079,0.457627119,0.29787234,0.237288136,0.344553191,0.531073446,0.186440678,0.183216027,2.540581081,Cyprinidae
29.7,3.295696051,0.47700327,0.392857143,0.333327586,0.301166667,0.482750297,0.252869203,0.225624759,2.306951613,Cyprinidae
29.7,3.466609651,0.533780212,0.274390244,0.335087195,0.386292683,0.486333082,0.240192935,0.186069395,3.914687488,Cyprinidae
15.45,3.788269659,0.526439394,0.316666667,0.332689394,0.381172381,0.564090909,0.254015152,0.185545203,2.32183775,Cyprinidae
10.0,3.317875661,0.493606397,0.40015361,0.327041993,0.328128264,0.499725818,0.269091173,0.178908772,2.059477323,Cyprinidae
18.0,3.402504306,0.427988664,0.354804622,0.353228616,0.262417309,0.483108707,0.231329803,0.144744216,3.6335,Cyprinidae
22.5,3.612033662,0.522131954,0.300881977,0.327853623,0.366079893,0.530892368,0.226620786,0.18866316,2.52989927,Cyprinidae
21.0,3.054107815,0.500106339,0.405632043,0.292682622,0.244743987,0.520673564,0.268324722,0.195826711,2.296662026,Cyprinidae
17.3,3.345886886,0.632334343,0.3,0.470633217,0.337466667,0.441163495,0.352930796,0.166274772,2.4375,Cyprinidae
15.5,3.445921894,0.456560683,0.282352941,0.265888839,0.402752941,0.491198872,0.190700739,0.185087112,2.484421875,Cyprinidae
26.3,3.761604378,0.511560816,0.333715872,0.386031657,0.417159373,0.420289053,0.340831543,0.177906291,2.797942218,Cyprinidae
25.0,5.810673152,0.571984436,0.134617465,0.505836576,0.476133471,0.539560311,0.332058366,0.105267845,1.873975596,Apteronotidae
19.0,7.274110048,0.598086124,0.133328717,0.56937799,0.556975174,0.414559809,0.38277512,0.159625425,2.0709330386,Apteronotidae
19.0,6.195643584,0.524189321,0.137494654,0.475802614,0.3581682,0.367694615,0.34679559,0.086678963,1.442251173,Apteronotidae
32.2,8.478255319,0.495265957,0.190434306,0.461531915,0.511751644,0.368893617,0.354611702,0.060095539,1.752358491,Apteronotidae
10.2,2.196328876,0.575591042,0.372884223,0.336973797,0.242906685,0.619439609,0.428053303,0.326898508,1.9050546894,Cichlidae
12.0,2.414934524,0.629696429,0.211602908,0.37814881,0.355897305,0.838357143,0.39885119,0.231150899,1.781007046,Cichlidae
